MsgId,CmdCode,TimeRadians,SequenceCount,MsgLength,HasSecondaryHeader,MsgType,ApId,HeaderVersion,SegmentationFlag,FlowLengthInWindow,SlidingWindowMeanIntervalSec,SlidingWindowMaxIntervalSec,SlidingWindowMinIntervalSec,MessageCountInWindow,UniqueMessageIDsInWindow,AverageMessageLengthInWindow,MessageRateInWindow,StdDevMessageLengthInWindow,CommandErrorCounter,IngestErrors,MemoryAnonMB,MemoryFileMB,MemoryKernelstackMB,MemoryPageTableMB,MemorySocketMB,MemoryPercpuMB,MemoryShmemMB,MemorySlabUnreclaimableMB,MemoryPageFaults,Label
6323,0,1.682673,0,8,1,1,179,0,4,1.715681,1.715681,1.715681,1.715681,2,2,8,0.1,0.0,0,0,5.55078125,4.5390625,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.727630615,0,3
6323,1,1.682717,0,12,1,1,179,0,4,2.324121,1.16206,1.715681,0.60844,3,2,9,0.15,1.91,0,0,5.5546875,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.728157044,0,3
6276,0,1.682747,0,8,1,1,132,0,4,2.734382,0.911461,1.715681,0.410261,4,3,9,0.2,1.73,0,0,5.5546875,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.727378845,0,3
6277,4,1.682777,0,8,1,1,133,0,4,3.145189,0.786297,1.715681,0.410261,5,4,8,0.25,1.79,0,0,5.55859375,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.735267639,0,3
6298,0,1.682807,0,8,1,1,154,0,4,3.558012,0.711602,1.715681,0.410261,6,5,8,0.3,1.63,0,0,5.55859375,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.726402283,0,3
6318,0,1.682837,0,8,1,1,174,0,4,3.968878,0.66148,1.715681,0.410261,7,6,8,0.35,1.51,0,0,5.55859375,4.546875,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.728408814,0,3
6308,0,1.682866,0,8,1,1,164,0,4,4.377754,0.625393,1.715681,0.408876,8,7,8,0.4,1.41,0,0,5.5625,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.728942871,0,3
6318,1,1.682896,0,8,1,1,174,0,4,4.789406,0.598676,1.715681,0.408876,9,7,8,0.45,1.33,0,0,5.5625,4.546875,0.78125,0.296875,0.03515625,0.000514984,1.25390625,0.728538513,0,3
6308,1,1.682919,0,8,1,1,164,0,4,5.098171,0.566463,1.715681,0.308765,10,7,8,0.5,1.26,0,0,5.5625,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.729576111,0,3
6331,0,1.682948,0,8,1,1,187,0,4,5.507576,0.550758,1.715681,0.308765,11,8,8,0.55,1.21,0,0,5.55859375,4.546875,0.78125,0.29296875,0.0234375,0.000514984,1.25390625,0.726852417,0,3
6150,0,1.682978,0,8,1,1,6,0,4,5.918158,0.538014,1.715681,0.308765,12,9,8,0.6,1.15,0,0,5.55859375,4.546875,0.78125,0.29296875,0.0234375,0.000514984,1.25390625,0.727249146,0,3
6145,0,1.683008,0,8,1,1,1,0,4,6.327856,0.527321,1.715681,0.308765,13,10,8,0.65,1.11,0,0,5.5546875,4.546875,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.72151947,0,3
6284,0,1.68303,0,8,1,1,140,0,4,6.63609,0.510468,1.715681,0.308234,14,11,8,0.7,1.07,0,0,5.5546875,4.546875,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.726379395,0,3
6288,0,1.68306,0,8,1,1,144,0,4,7.045271,0.503234,1.715681,0.308234,15,12,8,0.75,1.03,0,0,5.5546875,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.726142883,0,3
6280,0,1.68309,0,8,1,1,136,0,4,7.45573,0.497049,1.715681,0.308234,16,13,8,0.8,1.0,0,0,5.55859375,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.7265625,0,3
6147,0,1.68312,0,8,1,1,3,0,4,7.861512,0.491345,1.715681,0.308234,17,14,8,0.85,0.97,0,0,5.55859375,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.729629517,0,3
6313,0,1.683149,0,8,1,1,169,0,4,8.269287,0.486429,1.715681,0.308234,18,15,8,0.9,0.94,0,0,5.55859375,4.546875,0.78125,0.30078125,0.0234375,0.000514984,1.25390625,0.73009491,0,3
6293,0,1.683172,0,8,1,1,149,0,4,8.579419,0.476634,1.715681,0.308234,19,16,8,0.95,0.92,0,0,5.55859375,4.546875,0.78125,0.30078125,0.0234375,0.000514984,1.25390625,0.72959137,0,3
6149,2,1.683202,0,8,1,1,5,0,4,8.990161,0.473166,1.715681,0.308234,20,17,8,1.0,0.89,0,0,5.55859375,4.546875,0.78125,0.30078125,0.0234375,0.000514984,1.25390625,0.729103088,0,3
6272,0,1.683232,0,8,1,1,128,0,4,9.405095,0.470255,1.715681,0.308234,21,17,8,1.05,0.87,0,0,5.55859375,4.546875,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.735466003,0,3
6323,0,1.683255,0,8,1,1,179,0,4,9.719866,0.462851,1.715681,0.308234,22,17,8,1.1,0.85,0,0,5.55859375,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.733192444,0,3
6323,1,1.683285,0,12,1,1,179,0,4,10.129088,0.460413,1.715681,0.308234,23,17,8,1.15,1.18,0,0,5.55859375,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.730827332,0,3
6276,0,1.683314,0,8,1,1,132,0,4,10.536975,0.458129,1.715681,0.308234,24,17,8,1.2,1.15,0,0,5.55859375,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.736854553,0,3
6277,4,1.683337,0,8,1,1,133,0,4,10.844168,0.45184,1.715681,0.307193,25,17,8,1.25,1.13,0,0,5.55859375,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.730133057,0,3
6298,0,1.683367,0,8,1,1,154,0,4,11.260117,0.450405,1.715681,0.307193,26,17,8,1.3,1.11,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.728759766,0,3
6318,0,1.68339,0,8,1,1,174,0,4,11.574176,0.445161,1.715681,0.307193,27,17,8,1.35,1.09,0,0,5.5625,4.55078125,0.78125,0.30078125,0.02734375,0.000514984,1.25390625,0.728424072,0,3
6308,0,1.683419,0,8,1,1,164,0,4,11.981116,0.443745,1.715681,0.307193,28,17,8,1.4,1.07,0,0,5.5625,4.55078125,0.78125,0.30078125,0.0234375,0.000514984,1.25390625,0.728027344,0,3
6318,1,1.683449,0,8,1,1,174,0,4,12.388221,0.442437,1.715681,0.307193,29,17,8,1.45,1.05,0,0,5.5625,4.55078125,0.78125,0.296875,0.03515625,0.000514984,1.25390625,0.722412109,0,3
6308,1,1.683471,0,8,1,1,164,0,4,12.693569,0.437709,1.715681,0.305348,30,17,8,1.5,1.03,0,0,5.5625,4.55078125,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.72593689,0,3
6331,0,1.683501,0,8,1,1,187,0,4,13.104558,0.436819,1.715681,0.305348,31,17,8,1.55,1.02,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.726020813,0,3
6150,0,1.68353,0,8,1,1,6,0,4,13.509501,0.43579,1.715681,0.305348,32,17,8,1.6,1.0,0,0,5.5625,4.55078125,0.78125,0.30078125,0.03515625,0.000514984,1.25390625,0.732154846,0,3
6145,0,1.683553,0,8,1,1,1,0,4,13.820853,0.431902,1.715681,0.305348,33,17,8,1.65,0.98,0,0,5.5625,4.55078125,0.78125,0.30078125,0.0234375,0.000514984,1.25390625,0.73387146,0,3
6284,0,1.683583,0,8,1,1,140,0,4,14.231752,0.431265,1.715681,0.305348,34,17,8,1.7,0.97,0,0,5.5625,4.55078125,0.78125,0.30078125,0.0234375,0.000514984,1.25390625,0.727806091,0,3
6288,0,1.683606,0,8,1,1,144,0,4,14.542746,0.427728,1.715681,0.305348,35,17,8,1.75,0.96,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.722877502,0,3
6280,0,1.683635,0,8,1,1,136,0,4,14.951718,0.427192,1.715681,0.305348,36,17,8,1.8,0.94,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.728012085,0,3
6147,0,1.683665,0,8,1,1,3,0,4,15.361974,0.426722,1.715681,0.305348,37,17,8,1.85,0.93,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.751991272,0,3
6313,0,1.683695,0,8,1,1,169,0,4,15.770139,0.42622,1.715681,0.305348,38,17,8,1.9,0.92,0,0,5.5625,4.55078125,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.730072022,0,3
6293,0,1.683717,0,8,1,1,149,0,4,16.075844,0.423049,1.715681,0.305348,39,17,8,1.95,0.91,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.732330322,0,3
6149,2,1.683747,0,8,1,1,5,0,4,16.485098,0.422695,1.715681,0.305348,40,17,8,2.0,0.89,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.729972839,0,3
6272,0,1.683769,0,8,1,1,128,0,4,16.794006,0.41985,1.715681,0.305348,41,17,8,2.05,0.88,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.73072052,0,3
6323,0,1.683799,0,8,1,1,179,0,4,17.200859,0.419533,1.715681,0.305348,42,17,8,2.1,0.87,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.731361389,0,3
6323,1,1.683821,0,12,1,1,179,0,4,17.509256,0.416887,1.715681,0.305348,43,17,8,2.15,1.06,0,0,5.56640625,4.55078125,0.78125,0.30078125,0.02734375,0.000514984,1.25390625,0.730285645,0,3
6276,0,1.683851,0,8,1,1,132,0,4,17.917301,0.416681,1.715681,0.305348,44,17,8,2.2,1.04,0,0,5.56640625,4.55078125,0.78125,0.30078125,0.0234375,0.000514984,1.25390625,0.73160553,0,3
6277,4,1.683881,0,8,1,1,133,0,4,18.324755,0.416472,1.715681,0.305348,45,17,8,2.25,1.03,0,0,5.56640625,4.55078125,0.78125,0.30078125,0.03515625,0.000514984,1.25390625,0.73109436,0,3
6298,0,1.68391,0,8,1,1,154,0,4,18.731926,0.416265,1.715681,0.305348,46,17,8,2.3,1.02,0,0,5.5625,4.55078125,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.726570129,0,3
6318,0,1.683932,0,8,1,1,174,0,4,19.038311,0.413876,1.715681,0.305348,47,17,8,2.35,1.01,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.727554321,0,3
6308,0,1.683962,0,8,1,1,164,0,4,19.447287,0.413772,1.715681,0.305348,48,17,8,2.4,1.0,0,0,5.56640625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.729820252,0,3
6318,1,1.683992,0,8,1,1,174,0,4,19.857052,0.413689,1.715681,0.305348,49,17,8,2.45,0.99,0,0,5.56640625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.731468201,0,3
6308,1,1.684022,0,8,1,1,164,0,4,18.553223,0.386526,0.60844,0.305348,49,17,8,2.45,0.99,0,0,5.56640625,4.55078125,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.728698731,0,3
6331,0,1.684052,0,8,1,1,187,0,4,18.961405,0.386967,0.60844,0.305348,50,17,8,2.5,0.98,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.727607727,0,3
6150,0,1.684096,0,8,1,1,6,0,4,19.571852,0.391437,0.610448,0.305348,51,17,8,2.55,0.97,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.729896545,0,3
6145,0,1.684126,0,8,1,1,1,0,4,19.983576,0.391835,0.610448,0.305348,52,17,8,2.6,0.96,0,0,5.5703125,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.729171753,0,3
6284,0,1.684148,0,8,1,1,140,0,4,19.683937,0.38596,0.610448,0.305348,52,17,8,2.6,0.96,0,0,5.5703125,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.728187561,0,3
6288,0,1.684178,0,8,1,1,144,0,4,19.679077,0.385864,0.610448,0.305348,52,17,8,2.6,0.78,0,0,5.5703125,4.55078125,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.729614258,0,3
6280,0,1.6842,0,8,1,1,136,0,4,19.985754,0.384342,0.610448,0.305348,53,17,8,2.65,0.78,0,0,5.5625,4.55078125,0.78125,0.30078125,0.02734375,0.000514984,1.25390625,0.729164124,0,3
6147,0,1.684245,0,8,1,1,3,0,4,19.77475,0.38774,0.612626,0.305348,52,17,8,2.6,0.78,0,0,5.5625,4.55078125,0.78125,0.30078125,0.0234375,0.000514984,1.25390625,0.729011536,0,3
6313,0,1.684274,0,8,1,1,169,0,4,19.772173,0.38769,0.612626,0.305348,52,17,8,2.6,0.78,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.730239868,0,3
6293,0,1.684297,0,8,1,1,149,0,4,19.671785,0.385721,0.612626,0.305348,52,17,8,2.6,0.78,0,0,5.5625,4.55078125,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.729354858,0,3
6149,2,1.684327,0,8,1,1,5,0,4,19.672415,0.385734,0.612626,0.305348,52,17,8,2.6,0.78,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.727912903,0,3
6272,0,1.684357,0,8,1,1,128,0,4,19.772314,0.387692,0.612626,0.305348,52,17,8,2.6,0.78,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.72795105,0,3
6323,0,1.684379,0,8,1,1,179,0,4,19.673162,0.385748,0.612626,0.305348,52,17,8,2.6,0.78,0,0,5.5625,4.55078125,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.728225708,0,3
6323,1,1.684409,0,12,1,1,179,0,4,19.671976,0.385725,0.612626,0.305348,52,17,8,2.6,0.96,0,0,5.56640625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.734107971,0,3
6276,0,1.684431,0,8,1,1,132,0,4,19.982452,0.384278,0.612626,0.305348,53,17,8,2.65,0.95,0,0,5.56640625,4.55078125,0.78125,0.296875,0.03515625,0.000514984,1.25390625,0.731376648,0,3
6277,4,1.684461,0,8,1,1,133,0,4,19.980194,0.384234,0.612626,0.305348,53,17,8,2.65,0.95,0,0,5.56640625,4.55078125,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.726478577,0,3
6298,0,1.684491,0,8,1,1,154,0,4,19.670702,0.3857,0.612626,0.305348,52,17,8,2.6,0.96,0,0,5.56640625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.725730896,0,3
6318,0,1.684513,0,8,1,1,174,0,4,19.976645,0.384166,0.612626,0.305348,53,17,8,2.65,0.95,0,0,5.56640625,4.55078125,0.78125,0.296875,0.03515625,0.000514984,1.25390625,0.73009491,0,3
6308,0,1.684543,0,8,1,1,164,0,4,19.971228,0.384062,0.612626,0.305348,53,17,8,2.65,0.95,0,0,5.56640625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.726287842,0,3
6318,1,1.684572,0,8,1,1,174,0,4,19.973513,0.384106,0.612626,0.305348,53,17,8,2.65,0.95,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.73248291,0,3
6308,1,1.684595,0,8,1,1,164,0,4,19.873919,0.382191,0.612626,0.305348,53,17,8,2.65,0.95,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.729431152,0,3
6331,0,1.684624,0,8,1,1,187,0,4,19.974216,0.38412,0.612626,0.305348,53,17,8,2.65,0.95,0,0,5.5625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.726913452,0,3
6150,0,1.684654,0,8,1,1,6,0,4,19.975855,0.384151,0.612626,0.305348,53,17,8,2.65,0.95,0,0,5.56640625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.72706604,0,3
6145,0,1.684677,0,8,1,1,1,0,4,19.865749,0.382034,0.612626,0.304829,53,17,8,2.65,0.95,0,0,5.56640625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.72858429,0,3
6284,0,1.684706,0,8,1,1,140,0,4,19.961502,0.383875,0.612626,0.304829,53,17,8,2.65,0.95,0,0,5.56640625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.726852417,0,3
6288,0,1.684744,0,8,1,1,144,0,4,19.656116,0.385414,0.612626,0.304829,52,17,8,2.6,0.78,0,0,5.56640625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.727180481,0,3
6280,0,1.684766,0,8,1,1,136,0,4,19.968285,0.384006,0.612626,0.304829,53,17,8,2.65,0.78,0,0,5.56640625,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.726905823,0,3
6147,0,1.684796,0,8,1,1,3,0,4,19.653343,0.38536,0.612626,0.304829,52,17,8,2.6,0.78,0,0,5.5625,4.55078125,0.78125,0.296875,0.03515625,0.000514984,1.25390625,0.726730347,0,3
6313,0,1.684818,0,8,1,1,169,0,4,19.958181,0.383811,0.612626,0.304829,53,17,8,2.65,0.78,0,0,5.5625,4.55078125,0.78125,0.296875,0.02734375,0.000514984,1.25390625,0.728858948,0,3
6293,0,1.684848,0,8,1,1,149,0,4,19.652437,0.385342,0.612626,0.304829,52,17,8,2.6,0.78,0,0,5.5703125,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.738494873,0,3
6149,2,1.684878,0,8,1,1,5,0,4,19.658091,0.385453,0.612626,0.304829,52,17,8,2.6,0.78,0,0,5.5703125,4.55078125,0.78125,0.296875,0.03515625,0.000514984,1.25390625,0.734672546,0,3
6272,0,1.684908,0,8,1,1,128,0,4,19.760651,0.387464,0.612626,0.304829,52,17,8,2.6,0.78,0,0,5.5703125,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.727584839,0,3
6323,0,1.684938,0,8,1,1,179,0,4,19.75861,0.387424,0.612626,0.304829,52,17,8,2.6,0.78,0,0,5.5703125,4.55078125,0.78125,0.296875,0.0234375,0.000514984,1.25390625,0.729019165,0,3
